region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Baranya,2020-04-23,1.152097986137406,1.1348577136114981,0.7222557778592054,1.6119596533423661,1.0059522594284762,1.2757874890901773
Baranya,2020-04-24,1.1537415614203355,1.1381299341219833,0.7012503650617821,1.601502363035692,0.9947984365097091,1.2621487045747488
Baranya,2020-04-25,1.1508765551816138,1.1350568906896954,0.6926837765259675,1.59493863816794,0.9766933282664463,1.2492254259732025
Baranya,2020-04-26,1.1468820837075606,1.1299835347755094,0.6875748583308485,1.572831050962437,0.9458543165925917,1.2203519622762071
Baranya,2020-04-27,1.146135288586528,1.1275915146770346,0.6903683988825157,1.5785015633509656,0.9604057424252641,1.2312555848268574
Baranya,2020-04-28,1.1458705939532146,1.1221720506209565,0.7140828993162571,1.6099073551489984,0.9523184271035058,1.2236701618719024
Baranya,2020-04-29,1.1444833284660565,1.1198183217415183,0.7130187334306783,1.6264920035098012,0.9562768334355801,1.2207322823325883
Baranya,2020-04-30,1.1427819076789483,1.1206226401047799,0.6823960709907433,1.583384037251425,0.9832367064488645,1.2527557834217253
Baranya,2020-05-01,1.1395674618683433,1.1183914949954334,0.7257675357638549,1.6167980305094192,0.9884398136840935,1.2591128057988643
Baranya,2020-05-02,1.1402089041447918,1.1200654975308142,0.7721639842830531,1.6659926418912634,0.952562639258687,1.2234484613361674
Baranya,2020-05-03,1.1395804837396857,1.1172236560754745,0.7041643436302951,1.640835969770823,0.9590528178906988,1.2317939500679465
Baranya,2020-05-04,1.1374299149337301,1.1153865007835524,0.6975672004897798,1.6433693556247126,0.9470497701575498,1.2217017219742543
Baranya,2020-05-05,1.1368899401501842,1.1124300302315895,0.6419148626057725,1.5948611504083925,0.9565515747235912,1.2318466201290075
Baranya,2020-05-06,1.1359277457667623,1.1129734405336362,0.629083821483311,1.5664656719667975,0.9487993859256139,1.2238971468628645
Baranya,2020-05-07,1.1353474567580133,1.1169270296956326,0.6411440916217704,1.5902456251852022,0.9532918952456712,1.2286415674075317
Baranya,2020-05-08,1.1333786420516367,1.1095302370775895,0.6656234808118839,1.636308209269084,0.9412487271377833,1.2208476926593146
Baranya,2020-05-09,1.133426507050057,1.1127961749331852,0.6237462586328311,1.6022761993007055,0.9450633052413474,1.221853788013832
Baranya,2020-05-10,1.1323610596017015,1.1138008278537308,0.7031668233666508,1.676651278423289,0.9381669109116143,1.2149607573991406
Baranya,2020-05-11,1.1315401266579794,1.1118304468290663,0.6608256235768108,1.6378853088076644,0.9560850620509974,1.232565340518507
Baranya,2020-05-12,1.129175818612399,1.1128766572309523,0.6510370767232608,1.6528218064891878,0.9527302831917114,1.2335605164616676
Baranya,2020-05-13,1.1301980762289836,1.1173017469929838,0.6713411840483235,1.6760954809567288,0.9538603765758019,1.2257757171417853
Baranya,2020-05-14,1.1249226457222528,1.113485361480837,0.6683478686234064,1.6399398777867034,0.9713268669526012,1.2503647801498556
Baranya,2020-05-15,1.124172551340709,1.1109977787133924,0.6452765149715813,1.6241572706728427,0.940489606336169,1.220492786066049
Baranya,2020-05-16,1.122427673297353,1.1100361745253693,0.6495478317542885,1.6395082496889222,0.9497887107168551,1.228161475589296
Baranya,2020-05-17,1.12151702337144,1.1065279495445957,0.6664816240498304,1.6471350501248256,0.9478692511297858,1.2265941952768478
Baranya,2020-05-18,1.1234445968839457,1.1123855264228126,0.6540911978978133,1.6166183736411046,0.9565632528022578,1.2321207864012877
Baranya,2020-05-19,1.1195694028921503,1.109366933509319,0.6853950297199098,1.652021496418301,0.9328205335572112,1.2048048168371228
Baranya,2020-05-20,1.1180605819529212,1.108012419743333,0.660969100759591,1.6128951344517075,0.9861551406609912,1.2628933597571186
Baranya,2020-05-21,1.1180841818626241,1.1066193187608218,0.6226503330379142,1.59568193767889,0.9462555706810345,1.2245081728140854
Baranya,2020-05-22,1.116022977405041,1.1116152098924084,0.6216506876192645,1.570603453414225,0.979220521928227,1.2522124719505225
Baranya,2020-05-23,1.1171760760582443,1.1135337606815985,0.635521366101651,1.5666562480918615,0.9796937646993792,1.2499322940559503
Baranya,2020-05-24,1.1146881700177864,1.1139557011289059,0.6712297779611656,1.5838157863934077,0.9795246624838911,1.2502612502002952
Baranya,2020-05-25,1.1128999564297295,1.109843580497925,0.5788021992498449,1.516831123812458,0.9819966871618562,1.2565535424811376
Baranya,2020-05-26,1.1119099649178539,1.1076717613697933,0.6749824449798907,1.6101604117020747,0.9813959239948861,1.2539140850723964
Baranya,2020-05-27,1.110949282592727,1.110757604883308,0.5861086566181443,1.5334708831720336,0.970008880749497,1.2455934119930911
Baranya,2020-05-28,1.1097079272088943,1.10736760898655,0.6133895784510055,1.5688325619475547,0.9772301012351035,1.251210197352445
Baranya,2020-05-29,1.1081859817971946,1.1064378417050995,0.5902101479985387,1.542917236543581,0.9544002981753023,1.2263018899281182
Baranya,2020-05-30,1.1093788225405294,1.107202139716232,0.6307189764518684,1.5740576293488808,0.9626612600175068,1.2286155438872284
Baranya,2020-05-31,1.107901880582507,1.1094981544456033,0.6085432463372569,1.5276778668047668,0.9834633774900289,1.2462913055679796
Baranya,2020-06-01,1.1057923558058205,1.1083318109624347,0.6511412476118034,1.5714672221250567,0.9943645956881288,1.2582750284444184
Baranya,2020-06-02,1.1057995574317738,1.1100856880380277,0.6059728324460658,1.539969626770585,1.0063819505542604,1.2768089697619198
Baranya,2020-06-03,1.1026524483624394,1.1096931856246792,0.6047600875419226,1.529623976781512,1.0055075123534771,1.2717333176520476
